id,key,value,type
51268756,highway,turning_circle,regular
51269677,highway,turning_circle,regular
51269930,highway,turning_circle,regular
51269974,name,Lady Moon & Harmony,regular
51269974,operator,Transfort,regular
51269974,public_transport,stop_position,regular
51269975,highway,traffic_signals,regular
51270663,highway,turning_circle,regular
51270699,highway,turning_circle,regular
51270700,highway,turning_circle,regular
51272265,highway,turning_circle,regular
51273359,highway,turning_circle,regular
51274223,highway,turning_circle,regular
51274308,highway,turning_circle,regular
51276006,highway,turning_circle,regular
51277898,highway,turning_circle,regular
51277906,highway,turning_circle,regular
51280431,highway,turning_circle,regular
51280491,highway,turning_circle,regular
51282423,railway,level_crossing,regular
51284019,highway,crossing,regular
51284019,source,Bing,regular
51284020,highway,crossing,regular
51284020,source,Bing,regular
51284037,highway,turning_circle,regular
51284284,highway,turning_circle,regular
51285079,highway,turning_circle,regular
51285791,highway,turning_circle,regular
51285797,highway,turning_circle,regular
51286373,highway,turning_circle,regular
51286374,highway,turning_circle,regular
51288914,highway,turning_circle,regular
51289954,highway,turning_circle,regular
51289978,highway,turning_circle,regular
51292266,highway,turning_circle,regular
51293575,highway,turning_circle,regular
51293630,highway,turning_circle,regular
51293663,highway,turning_circle,regular
51293877,highway,turning_circle,regular
51294353,highway,turning_circle,regular
51294355,highway,turning_circle,regular
51294944,highway,turning_circle,regular
51295420,highway,traffic_signals,regular
51295420,traffic_signals,signal,regular
51295421,highway,traffic_signals,regular
51295421,traffic_signals,signal,regular
51296483,highway,turning_circle,regular
51296587,highway,turning_circle,regular
51297321,railway,level_crossing,regular
51297348,highway,traffic_signals,regular
51297356,name,Harmony & Timberline,regular
51297356,operator,Transfort,regular
51297356,public_transport,stop_position,regular
51297357,relation,from,regular
51297382,name,Harmony & McMurray,regular
51297382,operator,Transfort,regular
51297382,public_transport,stop_position,regular
51297487,highway,turning_circle,regular
51298078,highway,turning_circle,regular
51298203,highway,turning_circle,regular
51298207,highway,turning_circle,regular
51298222,highway,turning_circle,regular
51298226,highway,turning_circle,regular
51299711,highway,turning_circle,regular
51302112,highway,turning_circle,regular
51302123,highway,turning_circle,regular
51302214,highway,turning_circle,regular
51303334,highway,turning_circle,regular
51303350,highway,turning_circle,regular
51303784,highway,turning_circle,regular
51303818,highway,turning_circle,regular
51303907,noexit,yes,regular
51306110,highway,turning_circle,regular
51310117,highway,turning_circle,regular
51310121,highway,turning_circle,regular
51310339,highway,turning_circle,regular
51313041,highway,turning_circle,regular
51313159,highway,turning_circle,regular
51313569,highway,turning_circle,regular
51313608,highway,turning_circle,regular
51313615,highway,turning_circle,regular
51313982,highway,turning_circle,regular
51314076,highway,turning_circle,regular
51317593,highway,turning_circle,regular
51319596,highway,turning_circle,regular
51319598,highway,turning_circle,regular
51320081,highway,turning_circle,regular
51320757,highway,turning_circle,regular
51322848,highway,turning_circle,regular
51322918,highway,turning_circle,regular
51322977,highway,turning_circle,regular
51323317,highway,turning_circle,regular
51325940,highway,turning_circle,regular
51327448,highway,turning_circle,regular
51327449,highway,turning_circle,regular
51330600,highway,turning_circle,regular
51332167,highway,turning_circle,regular
51334739,highway,turning_circle,regular
51335049,highway,turning_circle,regular
51335153,highway,turning_circle,regular
53768241,crossing,traffic_signals,regular
53768241,highway,crossing,regular
53776819,created_by,JOSM,regular
53776842,created_by,JOSM,regular
53776851,created_by,JOSM,regular
53776860,created_by,JOSM,regular
53776870,created_by,JOSM,regular
53776938,created_by,JOSM,regular
53777026,created_by,JOSM,regular
53777030,created_by,JOSM,regular
53777074,created_by,JOSM,regular
53777087,created_by,JOSM,regular
53777090,created_by,JOSM,regular
53777195,created_by,JOSM,regular
53777236,created_by,JOSM,regular
53777238,created_by,JOSM,regular
55712565,highway,turning_circle,regular
55712565,source,Bing,regular
55712580,highway,turning_circle,regular
55712580,source,Bing,regular
55713151,highway,traffic_signals,regular
55713206,highway,turning_circle,regular
55713207,highway,turning_circle,regular
55713225,highway,turning_circle,regular
55713236,highway,turning_circle,regular
55713239,highway,turning_circle,regular
55714059,highway,turning_circle,regular
55714059,source,Bing,regular
55714171,highway,turning_circle,regular
55714171,source,Bing,regular
55714422,highway,turning_circle,regular
55714422,source,Bing,regular
55717069,highway,turning_circle,regular
55717083,highway,turning_circle,regular
55717088,highway,turning_circle,regular
55717189,highway,turning_circle,regular
55722783,highway,motorway_junction,regular
55723624,power,pole,regular
55723626,power,pole,regular
55724116,highway,turning_circle,regular
55724116,source,Bing,regular
55724971,highway,stop,regular
55725014,highway,turning_circle,regular
55725914,power,pole,regular
55725919,power,pole,regular
55725923,power,pole,regular
55725927,power,pole,regular
55725929,power,pole,regular
55725938,power,pole,regular
55725940,power,pole,regular
55725944,power,pole,regular
55728604,highway,turning_circle,regular
55728604,source,Bing,regular
55731909,highway,turning_circle,regular
55731911,highway,turning_circle,regular
55731926,highway,turning_circle,regular
55731929,highway,turning_circle,regular
55731979,highway,turning_circle,regular
55734427,railway,level_crossing,regular
55738047,highway,turning_circle,regular
55739218,highway,turning_circle,regular
55740641,highway,turning_circle,regular
