id,user,uid,version,changeset,timestamp
6145894,RichRico,2219338,3,39080658,2016-05-03T20:42:04Z
6146535,WmofColo,2181182,4,29412964,2015-03-11T19:29:05Z
6146547,DaveHansenTiger,7168,1,423338,2007-09-14T00:27:53Z
6146669,Mark Newnham,994480,11,29006263,2015-02-21T20:18:54Z
6146864,govvala,9632272,6,84602585,2020-05-04T07:12:26Z
6147063,Didger85,2429366,2,29628421,2015-03-21T03:22:42Z
6147765,Didger85,2429366,5,32840868,2015-07-24T03:49:15Z
6147817,grandhs,10271447,6,76501979,2019-11-01T14:59:39Z
6147964,DaveHansenTiger,7168,1,423338,2007-09-14T01:05:07Z
6147969,DaveHansenTiger,7168,1,423338,2007-09-14T01:05:09Z
6148233,Didger85,2429366,3,36228165,2015-12-28T19:59:14Z
6148308,russdeffner,358440,2,17127904,2013-07-28T16:31:20Z
6148320,russdeffner,358440,2,17127904,2013-07-28T16:31:22Z
6148323,russdeffner,358440,2,17127904,2013-07-28T16:31:21Z
6148325,russdeffner,358440,2,17127904,2013-07-28T16:31:22Z
6148836,jdkrabbe,388969,4,53277468,2017-10-26T23:24:39Z
6149527,DaveHansenTiger,7168,1,423609,2007-09-14T01:38:29Z
6150306,DaveHansenTiger,7168,1,423609,2007-09-14T02:03:55Z
6150322,Didger85,2429366,2,34964123,2015-10-30T04:26:10Z
6150331,gpserror,9637872,8,71307798,2019-06-16T18:54:23Z
6150335,kli_lyft,10313605,10,82396597,2020-03-19T15:29:13Z
6150603,chachafish,2237750,4,57195539,2018-03-15T02:25:11Z
6151074,DaveHansenTiger,7168,1,423609,2007-09-14T02:17:45Z
6151262,MikeM44,112919,5,10973712,2012-03-14T00:43:31Z
6151471,russdeffner,358440,2,17127904,2013-07-28T16:31:21Z
6151490,kli_lyft,10313605,10,82398683,2020-03-19T16:31:57Z
6151806,russdeffner,358440,2,17127904,2013-07-28T16:31:21Z
6151813,russdeffner,358440,2,17127904,2013-07-28T16:31:21Z
6151923,Krinkov,10645995,6,84954589,2020-05-10T00:16:51Z
6151943,DaveHansenTiger,7168,1,423609,2007-09-14T02:30:10Z
6151944,DaveHansenTiger,7168,1,423609,2007-09-14T02:30:10Z
6152838,DaveHansenTiger,7168,1,423609,2007-09-14T02:42:22Z
6153091,kli_lyft,10313605,10,82396819,2020-03-19T15:35:43Z
6153094,gpserror,9637872,8,71307798,2019-06-16T18:54:23Z
6153123,MikeM44,112919,3,11317219,2012-04-15T23:51:58Z
6153325,DaveHansenTiger,7168,1,423609,2007-09-14T02:48:51Z
6153993,phidauex,1231522,2,78294172,2019-12-12T04:49:09Z
6154151,MikeM44,112919,5,10983258,2012-03-14T22:15:49Z
6154163,MikeM44,112919,7,14020297,2012-11-24T22:04:29Z
6154164,mahmedqg,10173438,3,82326695,2020-03-18T03:51:44Z
6154167,mahmedqg,10173438,4,82326695,2020-03-18T03:51:44Z
6154168,MikeM44,112919,2,16867298,2013-07-07T23:37:45Z
6154274,phidauex,1231522,3,78990030,2019-12-29T21:20:44Z
6154305,DaveHansenTiger,7168,1,424197,2007-09-14T03:03:11Z
6154910,DaveHansenTiger,7168,1,424197,2007-09-14T03:10:52Z
6154991,joelholdsworth,16703,4,32665491,2015-07-16T03:58:26Z
6155220,Mr_Brown,60650,2,9347866,2011-09-20T02:46:13Z
